id,full_text,processed_text,word_count
665294061289476096,"CNN: Terror grips #Paris in night of attacks; hostages being held in theater, police say https://t.co/9koFKra8H3 https://t.co/lQ09poPGAA 163774609 ia_diego attacks_paris_19 Fri Nov 13 22:23:59 +0000 2015","['cnn', 'terror', 'grip', 'paris', 'night', 'attack', 'hostage', 'held', 'theater', 'police', 'say', 'httpstcokofkrah', 'httpstcolqpopgaa', 'iadiego', 'attacksparis', 'fri', 'nov']",17
665291222794248192,RT @KennySkyNews: Explosion outside Stade de France clearly audible during France v Germany match (via @ArsenalTerje) #Paris https://t.co/b… 126954161 MrCarlMcQueen attacks_paris_24 Fri Nov 13 22:12:42 +0000 2015,"['kennyskynews', 'explosion', 'outside', 'stade', 'france', 'clearly', 'audible', 'france', 'germany', 'match', 'via', 'arsenalterje', 'paris', 'httpstcob', 'mrcarlmcqueen', 'attacksparis', 'fri', 'nov']",18
565513437602926592, @BEAUTIFULPlCS : Lenticular clouds over Mt. Fuji in #Japan. http://t.co/BR98iTpQfV  wooow !! 😃😃 COOL 👍👍😃😃 ... Wooow !! 😃😃 1516691708 ms_nerdy13 fuji_lenticular_1 Wed Feb 11 14:11:24 +0000 2015,"['beautifulplcs', 'lenticular', 'cloud', 'fuji', 'japan', 'httptcobritpqfv', 'wooow', 'cool', 'wooow', 'msnerdy', 'fujilenticular', 'wed', 'feb']",13
289104191706759168,wOW ChEcK CoMO EL agUiLA cAsI Se llEVa Al NiÑO....\nhttp://t.co/rOJTJdVt http://t.co/Cs6smYIK 316113388 moreno_dps eagle_kid_1 Wed Jan 09 20:19:45 +0000 2013,"['wow', 'check', 'como', 'aguila', 'casi', 'lleva', 'nionhttptcorojtjdvt', 'httptcocssmyik', 'morenodps', 'eaglekid', 'wed', 'jan']",12
666185048232747008,RT @lesinrocks: Bataclan: “J’ai eu envie qu’on se souvienne des sourires et du rock”\nhttps://t.co/wOq3OY1ond https://t.co/IACSGBs3Fc 3574592956 Iouliette attacks_paris_3 Mon Nov 16 09:24:27 +0000 2015,"['lesinrocks', 'bataclan', 'jai', 'envie', 'quon', 'souvienne', 'de', 'sourires', 'rocknhttpstcowoqoyond', 'httpstcoiacsgbsfc', 'iouliette', 'attacksparis', 'mon', 'nov']",14
665334862648217600,#paris U.S. is with you tonight.. https://t.co/stFVMes7iR 454488080 cre_tae7 attacks_paris_25 Sat Nov 14 01:06:07 +0000 2015,"['paris', 'tonight', 'httpstcostfvmesir', 'cretae', 'attacksparis', 'sat', 'nov']",7
665291858491371521,RT @Spurs_US: via @guardian: Explosion outside Stade de France can be heard during the #FRAGER broadcast https://t.co/wS902kzuuA https://t.… 348583431 DarrenBGarrett attacks_paris_24 Fri Nov 13 22:15:14 +0000 2015,"['spursus', 'via', 'guardian', 'explosion', 'outside', 'stade', 'france', 'heard', 'frager', 'broadcast', 'httpstcowskzuua', 'httpst', 'darrenbgarrett', 'attacksparis', 'fri', 'nov']",16
686351979770195970,عبدالمانع العجمي @Abdulmane\n#مضايا تموت جوعا \nhttps://t.co/bu1HgObRjY \n\n#كم_واحد_يتابعك_من_افراد_عايلتك https://t.co/zVH5Ev0Pqp 1071355164 Majid1111111112 syrian_children_2 Mon Jan 11 01:00:38 +0000 2016,"['abdulmanen', 'nhttpstcobuhgobrjy', 'httpstcozvhevpqp', 'majid', 'syrianchildren', 'mon', 'jan']",7
714350932927115264,Eiffel Tower lights up in Pakistan colours showing solidarity with all HUMANS effected by terror\n\n #PrayForLahore https://t.co/joWmXeQRp2 4072826015 ItsWajii pakistan_explosion_1 Mon Mar 28 07:18:29 +0000 2016,"['eiffel', 'tower', 'light', 'pakistan', 'colour', 'showing', 'solidarity', 'human', 'effected', 'terrornn', 'prayforlahore', 'httpstcojowmxeqrp', 'itswajii', 'pakistanexplosion', 'mon', 'mar']",16
714295055662624768,Eiffel Tower lights up in solidarity wth Pakistan after #LahoreBlast #PrayForPakistan @OmarImranTweets @FarhanKVirk  https://t.co/LSETjumtMz 1872591854 Imrankhanmughal pakistan_explosion_1 Mon Mar 28 03:36:26 +0000 2016,"['eiffel', 'tower', 'light', 'solidarity', 'wth', 'pakistan', 'lahoreblast', 'prayforpakistan', 'omarimrantweets', 'farhankvirk', 'httpstcolsetjumtmz', 'imrankhanmughal', 'pakistanexplosion', 'mon', 'mar']",15
